state,total,aged,disabled,male,female,white,black,hispanic,other,less_than_65,between_65_to_74,greater_than_74,pct_aged,pct_disabled,pct_male,pct_female,pct_white,pct_black,pct_hispanic,pct_other,pct_less_than_65,pct_between_65_to_74,pct_greater_than_74
Alabama,1070474,866594,203880,480691,589783,787616,253074,9340,20445,203880,506608,359987,81,19,44.9,55.1,73.6,23.6,0.9,1.9,19,47.3,33.6
Alaska,108116,96353,11764,54672,53445,79800,2834,3111,22371,11764,62607,33745,89.1,10.9,50.6,49.4,73.8,2.6,2.9,20.7,10.9,57.9,31.2
Arizona,1400160,1256668,143492,650142,750018,1074842,46430,184964,93924,143492,712471,544197,89.8,10.2,46.4,53.6,76.8,3.3,13.2,6.7,10.2,50.9,38.9
Arkansas,653277,527679,125599,299930,353347,542021,84598,11843,14815,125599,302013,225667,80.8,19.2,45.9,54.1,83,12.9,1.8,2.3,19.2,46.2,34.5
California,6499203,5896417,602787,2980289,3518915,3548461,405592,1441908,1103243,602786,3316864,2579554,90.7,9.3,45.9,54.1,54.6,6.2,22.2,17,9.3,51,39.7
Colorado,961593,871640,89953,447185,514408,777590,30794,100351,52858,89953,520040,351600,90.6,9.4,46.5,53.5,80.9,3.2,10.4,5.5,9.4,54.1,36.6
Connecticut,702439,626639,75800,315354,387085,550663,53358,51587,46831,75800,340988,285652,89.2,10.8,44.9,55.1,78.4,7.6,7.3,6.7,10.8,48.5,40.7
Delaware,222814,197504,25310,100648,122167,168096,37445,6237,11036,25311,115013,82493,88.6,11.4,45.2,54.8,75.4,16.8,2.8,5,11.4,51.6,37
Florida,4803848,4291034,512814,2200242,2603606,3369351,496759,726358,211381,512814,2346382,1944650,89.3,10.7,45.8,54.2,70.1,10.3,15.1,4.4,10.7,48.8,40.5
Georgia,1808944,1542978,265966,805316,1003628,1182919,499988,43921,82116,265966,915222,627755,85.3,14.7,44.5,55.5,65.4,27.6,2.4,4.5,14.7,50.6,34.7
Hawaii,288450,267723,20727,134586,153864,86786,3064,20504,178096,20726,148916,118809,92.8,7.2,46.7,53.3,30.1,1.1,7.1,61.7,7.2,51.6,41.2
Idaho,361623,319260,42363,173070,188553,330812,1099,15129,14584,42364,187161,132098,88.3,11.7,47.9,52.1,91.5,0.3,4.2,4,11.7,51.8,36.5
Illinois,2287329,2024791,262537,1030717,1256612,1677866,297501,172631,139331,262537,1140931,883860,88.5,11.5,45.1,54.9,73.4,13,7.5,6.1,11.5,49.9,38.6
Indiana,1301309,1113171,188139,589996,711313,1134224,97706,27782,41598,188139,643238,469933,85.5,14.5,45.3,54.7,87.2,7.5,2.1,3.2,14.5,49.4,36.1
Iowa,646874,573295,73579,298635,348239,603745,12280,10077,20772,73579,322140,251156,88.6,11.4,46.2,53.8,93.3,1.9,1.6,3.2,11.4,49.8,38.8
Kansas,555807,489126,66680,255422,300384,485128,27101,21101,22477,66680,279926,209201,88,12,46,54,87.3,4.9,3.8,4,12,50.4,37.6
Kentucky,952197,770886,181311,440577,511620,863414,60424,7483,20876,181311,455369,315516,81,19,46.3,53.7,90.7,6.3,0.8,2.2,19,47.8,33.1
Louisiana,893631,740961,152670,409405,484226,588617,255845,22942,26228,152670,439654,301308,82.9,17.1,45.8,54.2,65.9,28.6,2.6,2.9,17.1,49.2,33.7
Maine,356229,302797,53433,167341,188888,337573,1654,2142,14860,53433,175882,126914,85,15,47,53,94.8,0.5,0.6,4.2,15,49.4,35.6
Maryland,1075070,955407,119663,474614,600456,663000,291857,33805,86408,119663,542374,413033,88.9,11.1,44.1,55.9,61.7,27.1,3.1,8,11.1,50.5,38.4
Massachusetts,1374243,1188440,185803,616847,757396,1110125,66038,90093,107986,185803,663074,525366,86.5,13.5,44.9,55.1,80.8,4.8,6.6,7.9,13.5,48.3,38.2
Michigan,2130074,1815757,314318,975232,1154842,1742447,251264,41776,94587,314318,1049161,766597,85.2,14.8,45.8,54.2,81.8,11.8,2,4.4,14.8,49.3,36
Minnesota,1068551,953275,115277,496344,572207,964169,31271,13868,59243,115276,540241,413034,89.2,10.8,46.5,53.5,90.2,2.9,1.3,5.5,10.8,50.6,38.7
Mississippi,614598,499098,115501,277584,337014,403072,196527,4835,10164,115501,295465,203632,81.2,18.8,45.2,54.8,65.6,32,0.8,1.7,18.8,48.1,33.1
Missouri,1263819,1071396,192423,576922,686896,1093215,117156,16786,36662,192423,611112,460286,84.8,15.2,45.6,54.4,86.5,9.3,1.3,2.9,15.2,48.4,36.4
